question,topic,intent,difficulty,answer
Could you tell me about skip list?,Data Structures,skip list,Advanced,"Probabilistic data structure with multiple layers. Allows O(log n) search, insert, delete. Simpler than balanced trees."
I want to learn about trie,Data Structures,trie,Intermediate,Tree structure for storing strings. Each path from root to leaf represents a word. Efficient for prefix searches.
I want to learn about memory management,Python Programming,memory management,Advanced,Python uses reference counting and garbage collection. Objects are freed when reference count reaches zero. Circular references handled by GC.
I want to learn about classmethod,Python Programming,classmethod,Intermediate,A method that receives the class as implicit first argument. Defined with @classmethod. Can be called on class or instances.
Help me understand greedy algorithm,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
Tell me about encapsulation,Object-Oriented Programming,encapsulation,Intermediate,Bundling data and methods that operate on data. Hiding internal implementation. Access control via public/private/protected. Improves maintainability.
disjoint set definition,Data Structures,disjoint set,Advanced,"Union-Find data structure for tracking disjoint sets. Operations: union (merge sets), find (get set representative). Nearly O(1) with path compression."
suffix array definition,Data Structures,suffix array,Advanced,Sorted array of all suffixes of a string. More space-efficient than suffix tree. Used in pattern matching.
Why is file handling important?,Python Basics,file handling,Beginner,"Reading and writing files using open(). Use 'with' statement for automatic file closing. Modes: 'r' (read), 'w' (write), 'a' (append)."
Help me understand learning rate,Deep Learning,learning rate,Beginner,Controls how much weights change per update. Too high: unstable training. Too low: slow convergence. Critical hyperparameter.
What is bias-variance tradeoff?,Machine Learning,bias-variance tradeoff,Intermediate,"Balance between model simplicity (high bias, underfitting) and complexity (high variance, overfitting). Total error = bias² + variance + irreducible error."
Tell me about semantic segmentation,Computer Vision,semantic segmentation,Intermediate,"Classifying each pixel in image. Assigns class to every pixel. Used in autonomous driving, medical imaging. Models: U-Net, FCN."
Define greedy algorithm,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
Explain AVL tree,Data Structures,AVL tree,Intermediate,Self-balancing BST where height difference between left and right subtrees is at most 1. Uses rotations to maintain balance.
How can I use VPC?,Cloud Computing,VPC,Intermediate,"Virtual Private Cloud is isolated network. Control IP range, subnets, routing. Security through security groups. Connect to on-premises."
Tell me about PCA,Machine Learning,PCA,Intermediate,Principal Component Analysis finds orthogonal axes of maximum variance. Linear transformation. Unsupervised. Used for dimensionality reduction and visualization.
Tell me about stash,Git & Version Control,stash,Intermediate,Temporarily saving uncommitted changes. git stash. Useful when switching branches. Can apply later with git stash pop.
Can you describe greedy algorithm?,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
I want to learn about gitignore,Git & Version Control,gitignore,Intermediate,".gitignore file specifies untracked files to ignore. Excludes build artifacts, secrets, dependencies. Patterns support wildcards."
Tell me about Express.js,Web Development,Express.js,Intermediate,"Minimal web framework for Node.js. Simplifies routing, middleware, request handling. Most popular Node.js framework."
function definition,Python Basics,function,Beginner,A reusable block of code defined with the 'def' keyword. Can accept parameters and return values. Helps organize code and avoid repetition.
Help me understand Prim's algorithm,Algorithms,Prim's algorithm,Intermediate,Finds minimum spanning tree. Grows tree one edge at a time. O(E log V) with priority queue.
Help me understand boosting,Machine Learning,boosting,Intermediate,"Sequential ensemble method where each model corrects errors of previous models. Examples: AdaBoost, Gradient Boosting, XGBoost. Often wins competitions."
Tell me about code smell,Software Engineering,code smell,Intermediate,"Symptom indicating potential problem in code. Examples: long methods, duplicate code, large classes. Suggest refactoring needed."
Explain DevOps,DevOps,DevOps,Intermediate,"Culture combining development and operations. Automates deployment, monitoring. Principles: collaboration, automation, continuous improvement. Speeds delivery."
What is list methods?,Python Basics,list methods,Beginner,"Lists have methods like append(), extend(), insert(), remove(), pop(), sort(), reverse(), index(), count(). Modify list in-place (mutable)."
Tell me about enumerate,Python Basics,enumerate,Beginner,"Returns index and value when iterating. for i, item in enumerate(my_list). Start index can be specified: enumerate(my_list, start=1)."
k-means clustering definition,Machine Learning,k-means clustering,Intermediate,Partitions data into k clusters by minimizing within-cluster variance. Iteratively updates centroids. Fast but sensitive to initialization and outliers.
Provide details on continuous integration,Software Engineering,continuous integration,Intermediate,"Automatically building and testing code on every commit. Detects integration issues early. Tools: Jenkins, GitHub Actions, CircleCI."
Tell me about range function,Python Basics,range function,Beginner,"Generates sequence of numbers. range(stop), range(start, stop), range(start, stop, step). Used in for loops. Returns range object."
Explain dynamic programming,Algorithms,dynamic programming,Intermediate,"Optimization technique that breaks problem into overlapping subproblems. Stores results to avoid recomputation. Examples: Fibonacci, knapsack."
Could you tell me about word2vec?,Natural Language Processing,word2vec,Intermediate,"Learns word embeddings from large corpus. Two architectures: CBOW (predict word from context), Skip-gram (predict context from word). Captures semantic relationships."
How do you implement object?,Python Basics,object,Beginner,An instance of a class. Created by calling the class like a function: obj = MyClass(). Has its own data and behavior.
Give me information on loss function,Deep Learning,loss function,Beginner,Measures difference between predictions and actual values. Regression: MSE. Classification: cross-entropy. Optimization minimizes loss.
Can you explain classmethod?,Python Programming,classmethod,Intermediate,A method that receives the class as implicit first argument. Defined with @classmethod. Can be called on class or instances.
Explain design patterns,Object-Oriented Programming,design patterns,Intermediate,"Reusable solutions to common problems. Creational (Singleton, Factory), Structural (Adapter, Decorator), Behavioral (Observer, Strategy)."
I want to learn about authentication,Web Development,authentication,Intermediate,"Verifying user identity. Methods: passwords, OAuth, JWT tokens. Session management. Important for security."
How do you implement LRU cache?,Data Structures,LRU cache,Advanced,Cache that evicts least recently used items when full. Implemented with hash map + doubly linked list. O(1) operations.
Why should I learn foreign key?,Database Systems,foreign key,Intermediate,Column referencing primary key of another table. Enforces referential integrity. Creates relationships between tables.
Tell me about ROC curve,Machine Learning,ROC curve,Advanced,Receiver Operating Characteristic plots True Positive Rate vs False Positive Rate at various thresholds. Area Under Curve (AUC) measures classifier quality. AUC = 1 is perfect.
Describe React,Web Development,React,Intermediate,JavaScript library for building user interfaces. Component-based architecture. Virtual DOM for efficient updates. Created by Facebook. Very popular.
Explain cookies,Web Development,cookies,Intermediate,"Small data stored by browser. Used for session management, personalization, tracking. Set by server via HTTP headers."
I want to learn about semi-supervised learning,Machine Learning,semi-supervised learning,Advanced,"Uses both labeled and unlabeled data. Leverages large amount of unlabeled data with small labeled set. Methods: self-training, co-training, pseudo-labeling."
assertion definition,Software Testing,assertion,Intermediate,"Statement checking expected outcome. Test fails if assertion false. Examples: assertEqual, assertTrue, assertRaises."
Give me information on active learning,Machine Learning,active learning,Advanced,"Model requests labels for most informative examples. Reduces labeling cost. Strategies: uncertainty sampling, query by committee, expected model change."
Help me understand adversarial training,Deep Learning,adversarial training,Advanced,"Training on adversarially perturbed examples. Improves robustness against attacks. Generator creates perturbations, model learns to resist."
greedy algorithm definition,Algorithms,greedy algorithm,Intermediate,"Makes locally optimal choice at each step. Doesn't always give global optimum. Examples: Dijkstra, Huffman coding."
I want to learn about code splitting,Performance Optimization,code splitting,Advanced,"Breaking code into smaller bundles. Load only what's needed. Improves initial load time. Common in React, webpack."
caching definition,Performance Optimization,caching,Advanced,"Storing frequently accessed data for fast retrieval. Reduces database load. Types: in-memory (Redis), CDN, browser. Invalidation strategies important."
How can I use label?,Machine Learning,label,Beginner,"The output or target variable in supervised learning. What we want to predict. Examples: spam/not spam, house price."
How does hierarchical clustering work?,Machine Learning,hierarchical clustering,Intermediate,Builds tree of clusters. Agglomerative (bottom-up) or divisive (top-down). Doesn't require k specification. Results in dendrogram.
reinforcement learning definition,Reinforcement Learning,reinforcement learning,Intermediate,"Learning by trial and error through environment interaction. Agent takes actions, receives rewards. Goal: maximize cumulative reward."
Tell me about regression,Machine Learning,regression,Beginner,"Predicting continuous numerical values. Examples: house price, temperature, stock price. Output is a number."
Explain machine learning,Machine Learning,machine learning,Beginner,"A subset of AI where systems learn from data without explicit programming. Algorithms improve performance through experience. Three main types: supervised, unsupervised, reinforcement."
Help me understand sentiment analysis,Natural Language Processing,sentiment analysis,Intermediate,"Determining emotional tone of text. Classification task: positive, negative, neutral. Used in social media monitoring, customer feedback."
dictionary definition,Python Basics,dictionary,Beginner,A dictionary stores key-value pairs. Created with curly braces {}. Keys must be unique and immutable. Provides O(1) average-case lookup time.
Define AWS,Cloud Computing,AWS,Intermediate,"Amazon Web Services is leading cloud provider. Services: EC2 (compute), S3 (storage), RDS (databases), Lambda (serverless). Largest market share."
I want to learn about inheritance,Object-Oriented Programming,inheritance,Intermediate,Mechanism where class derives properties from parent class. Promotes code reuse. Establishes is-a relationship. Child class extends parent.
Please tell me about KNN,Machine Learning,KNN,Intermediate,K-Nearest Neighbors classifies based on majority vote of k nearest training examples. No training phase. Simple but slow for large datasets.
Why should I learn load balancing?,Performance Optimization,load balancing,Advanced,"Distributing traffic across servers. Improves availability and performance. Algorithms: round-robin, least connections. Hardware or software-based."
Tell me about static method,Object-Oriented Programming,static method,Intermediate,"Belongs to class, not instances. Called on class, not object. Cannot access instance variables. Uses class name."
Define gradient descent,Machine Learning,gradient descent,Intermediate,"Optimization algorithm that iteratively moves toward minimum loss. Updates parameters in direction of negative gradient. Variants: batch, stochastic, mini-batch."
Can you explain what meta-learning is?,Machine Learning,meta-learning,Advanced,Learning to learn. Model learns across multiple tasks to quickly adapt to new tasks with few examples. Also called few-shot learning.
Why do we use string methods?,Python Basics,string methods,Beginner,"Python strings have many built-in methods: upper(), lower(), strip(), split(), replace(), find(), startswith(), endswith(). All return new strings (immutable)."
I want to learn about model deployment,Machine Learning,model deployment,Advanced,"Putting trained model into production. Considerations: serving infrastructure, monitoring, versioning, A/B testing, retraining strategy."
Tell me about insertion sort,Algorithms,insertion sort,Intermediate,"Builds sorted array one element at a time. O(n²) worst case, O(n) best case. Good for nearly sorted data."
Help me understand paging,Operating Systems,paging,Intermediate,Dividing memory into fixed-size pages. Eliminates external fragmentation. Page table maps virtual to physical addresses.
Show me how to use authentication,Web Development,authentication,Intermediate,"Verifying user identity. Methods: passwords, OAuth, JWT tokens. Session management. Important for security."
Explain reinforcement learning,Machine Learning,reinforcement learning,Beginner,"Learning by interacting with environment. Agent takes actions and receives rewards. Goal: maximize cumulative reward. Used in games, robotics."
I want to learn about priority queue,Data Structures,priority queue,Beginner,Queue where elements have priorities. Highest priority element is dequeued first. Implemented with heaps.
Why should I learn trie?,Data Structures,trie,Intermediate,Tree structure for storing strings. Each path from root to leaf represents a word. Efficient for prefix searches.
Can you describe PCA?,Machine Learning,PCA,Intermediate,Principal Component Analysis finds orthogonal axes of maximum variance. Linear transformation. Unsupervised. Used for dimensionality reduction and visualization.
Explain continuous testing,Software Testing,continuous testing,Intermediate,Automated testing in CI/CD pipeline. Fast feedback on every code change. Shift-left testing approach.
Tell me about batch normalization,Deep Learning,batch normalization,Intermediate,"Normalizes layer inputs for each mini-batch. Reduces internal covariate shift. Benefits: faster training, higher learning rates, regularization effect."
Help me understand neuron,Deep Learning,neuron,Beginner,"Basic unit in neural network. Computes weighted sum of inputs plus bias, applies activation function. Output becomes input for next layer."
What are the key concepts of feature engineering?,Machine Learning,feature engineering,Intermediate,"Creating new features from existing data to improve model performance. Techniques: polynomial features, binning, log transforms, domain-specific features."
Why do we use semi-supervised learning?,Machine Learning,semi-supervised learning,Advanced,"Uses both labeled and unlabeled data. Leverages large amount of unlabeled data with small labeled set. Methods: self-training, co-training, pseudo-labeling."
I want to learn about precision-recall curve,Machine Learning,precision-recall curve,Advanced,Plots precision vs recall at various thresholds. Better than ROC for imbalanced datasets. Area under curve indicates quality.
What are the key concepts of edge detection?,Computer Vision,edge detection,Intermediate,"Identifying boundaries in images. Classical: Sobel, Canny. Used as preprocessing step. Highlights important features."
Explain how branch works,Git & Version Control,branch,Intermediate,Independent line of development. Enables parallel work. Default branch usually 'main' or 'master'. Lightweight in Git.
Please tell me about version control,Software Engineering,version control,Intermediate,"Tracking changes to code over time. Enables collaboration, rollback. Systems: Git (distributed), SVN (centralized)."
microservices definition,Cloud Computing,microservices,Intermediate,Architectural style with loosely coupled services. Each service handles specific function. Independent deployment. Scales independently.
Explain REST API,Web Development,REST API,Intermediate,Representational State Transfer API uses HTTP methods. Stateless communication. Resources identified by URLs. Returns JSON/XML. Standard for web services.
Why should I learn Docker?,Cloud Computing,Docker,Intermediate,Platform for containerizing applications. Packages app with dependencies. Consistent across environments. Lightweight. Uses images and containers.
What exactly is image augmentation?,Computer Vision,image augmentation,Intermediate,"Artificially creating training images via transformations. Techniques: rotation, flipping, cropping, color shifts. Improves generalization."
